Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
	gigitan ular	snake bite																						kãhĩp	kãhĩp				2								
	menggeram	snarl										odoki	odoki																2								
	merebut	snatch (v.)										okie	okie																2								
	bersin	sneeze										èafakoe	èapakoe	eapacu	èāfākoe, éāpākoe														4								
	ingus	snot										ènèak²	ènèak²																2								
	sehingga	so that										fiaka	fiaka																2								
	basah	soak										kanoohak	kanoohak																2								
object features	lembut	soft				kiendjouw omka	kalileh																	ka-der	karerer				4								
object features	lembut	soft																kiõ̲ʔõ̲nõ̲, yaʔõ̲nõ̲											1								
body parts	telapak kaki	sole (of foot)										hèoai, hèooewa	hèoai		hèŏwaj														3								
	padat	solid										fakaafie	pakaafie																2								
quantity	beberapa	some																		ʔaʔanõ									1								
quantity	beberapa	some													èfīkahaj													meaning1895 'a few, some'	1								
	kadang-kadang	sometimes										èfaamahie	èfaamahie																2								
kinship	anak laki-laki	son					harah (manie)	ejara emane	harah-manie, farah-manie	éjara émane				ara	èara manie													note1878: first word means 'son', second word means 'brother'_cf. child	6								
kinship	anak laki-laki	son					harah-aboe-peradoe																					married	1								
kinship	menantu laki-laki	son-in-law													èdadoe èara		daro waraaw												2								
time	segera	soon												paniha															1								
time	segera	soon					ma-aboe																					Mod. 'subito/sebentar'	1								
time	segera	soon													maumanĕ														1								
	sakit	sore										kahifĕ	kahifĕ																2								
	suara	sound										èdjie	èdjie	egi	èdjie			itʔi						kais	eic			meaning1895 'say'	7								
taste	asam	sour												húche															1								
taste	asam	sour																		kãpãĩ									1				*paqit	bitter	ACD	Edwards 2015:362	Smith (2020:362) finds the nasalization problematic
taste	asam	sour													kafai														1								
activities	menabur	sow (v.)													èbaka kahaŏ(k)														1								
activities	menabur	sow (v.)													èofoeè														1								
	kolong rumah	space under house													ekŏnŏnŏhā														1								
	kolong rumah	space under house													kidjoearŏjĕ														1								
	luas	spacious										kididihok²	kididihok²																2								
activities	berbicara	speak					hidjie																						1								
tools	tombak (n.)	spear (n.)						ekaijo		ekajo				ecaio	èkaoijŏ													meaning1870 'lance, pike, spear'_meaning1895 'pike, lance, javelin'	4								
tools	tombak (n.)	spear (n.)	bahoea			beheeuw	behioe								èbohè			bo̲he̲		ebohe	[e]bohe							meaning<1855&1855vdS&1864 'axe'_meaning1895 'pike, lance, javelin'	6								cf. Makassarese poke, Sawu kapoke
tools	tombak (n.)	spear (n.)																						ioʔoʔ					1								
tools	tombak (n.)	spear (n.)									kanakinie																	meaning1888 'lance'	1								
tools	tombak (n.)	spear (n.)										koewaba	koewaba		koewabŏ													meaning1895 'pike, lance, javelin'	3								
tools	tombak/lembing	spear/lance	fokeh-fokeh		poké poké																								2								
	bintik	speck										famimihikĕ	famimihikĕ																2								
	bintik	speck										piekiak²	piekiak²																2								
abstract things	pidato	speech									pahao																		1								
	ejaan (n.)	spell (n.)/exorcism												ehabédo															1								
bodily fluids	air mani	sperm										èofoeè	èofoeè																2								
	bumbu	spices																						dapah	dapah			note2011: loanword rempah	2								
animals	laba-laba	spider									poekeha				poekĕha														2								
	tumpah	spilled																						kɘhɘi	kėhėi				2								
	tumpah	spilled																						ki-kɘhɘi	kikė'hėi				2								
	tumpah	spilled										anok²èjĕ	anok²èjĕ											ki-noʔoe					3								
	tumpah	spilled																						noʔoe	kė'hėI				2								
	memintal tali	spin (thread)													pakākāriē(k)														1								
body parts	tulang belakang	spine (backbone)																		eʔā ukũkã									1								
abstract things	roh gempa	spirit of earthquake									ĕkowèk riho																		1								
abstract things	roh pantai	spirit of the beach									èko(w)èk iggijou																		1								
abstract things	roh desa	spirit of the village									èkowèk èoeba																		1								
abstract things	roh air	spirit of the water									èko(w)èk ijakafita																		1								
activities	meludah	spit												aheito	ahītŏ(k)					kah-ito		iith	iit	pa-hito					6								
	meludah	spit																						ʔa-hit	kahit				2								
	guyuran	splash										kifoeadĕ	kifoeadĕ																2								
	membelah	split										pokĕnak²	pokĕnak²											pa-lauaʔ	kahbola				4								
	membelah	split										poarok²	poarok²											poraʔ	kabora				4								
	membelah	split																							kaboė				1								
human features	bertutul (di muka)	spotted (face)												capochepeche															1								
	menyemburkan	spout (v.)										boeboei	boeboei																2								
activities	menyebar	spread out										pariefa	pariefa																2								
	mata air	spring													èbakĕbo					e-baka u-boo								meaning1895 'spring, source', lit. 'eye of water'	2								
	mata air	spring																		e-dihia u-boo									1								
plants	tunas	sprout													kakĕlèha														1								
plants	tunas	sprout													kŏfiefie														1								
object features	persegi (a.)	square (a.)					ke-di apoh								kadiŏfè														2								
	persegi (halaman)	square (yard)										kaonèjĕ	kaonèjĕ																2								
	berjongkok	squat										fakowèhkowéh	fakowèhkowéh		pakowèh														3								
	meremas	squeeze										oekĕ	oekĕ											kah-mih					3								
	meremas	squeeze																				pih	pih	pĩh	kamih				4								
human features	juling	squint													kipakahariebaka													cf. eye	1								
	muncrat	squirt																		ki-bubú'ui				ki-bibiʔ	kibi			meaning1987K 'spill, squirt'	3	?			*busbus	leak, spill through	ACD	Zobel	bubú'ui = bubu + -'i. Cf. Wolio bubusi 'pour', also with fossilized suffix -i
	menusuk	stab										kitahak²(hak²)	kitahak²(hak²)									haq	haq	ki-tahaʔ	kirtahak				6								
	ditumpuk	stacked										kifak²ak² fak²ak²	kifak²ak² fak²ak²																2								
	noda (n.)	stain (n.)												pachiapa															1								
	tangga	stairs										èhija	èhija	ehèa	èhèja					e-hẽã				hẽ	hẽ			meaning1895 'ladder, staircase, steps'	7	*Sa-RəZan	ladder, staircase	Nothofer 1986:100	*haRezan	notched log ladder	ACD	Nothofer 1986:100, Kähler 1987:71	irregular acc. Nothofer, implies *z/Z > Ø
plants	tangkai	stalk																		ẽ-ãkãhã								cf. stem_meaning1987K 'stalk, stem'	1	?			*taŋan	finger, toe	ACD	Edwards 2015:94-97	unexpected initial /a/; cf. *batu > ẽ-apaku, *talih > e-akadio
plants	tangkai	stalk										èijok²	èijok²		èoek													cf. stem_meaning1891 'stalk, stem'_meaning1895 'bunch'	3								
plants	tangkai	stalk										èoeoe	èoeoe															cf. stem_meaning1891 'stalk, stem'	2								
	tangkai (buah)	stalk (of fruit)																		eadóua									1								
	gagap	stammer													kiparariŏ														1								
position	berdiri	stand					mahénoe	kaènoe		kaèno					maènoe					kĩ-ʔẽnũ									5								
position	berdiri	stand			jaramatrego																								1								
position	berdiri	stand				heheloe			hehelu											kab-éʔeu				ka-beʔ, ʔa-beʔ	kabe'				5								
movement	berdiri	stand up					khadok (hekoeh)																						1								
celestial objects	bintang	star												cahomimi	kamīmī		koomimi			ekaʔõmĩmĩ		koqmim	koqmim	koʔmim	ko'mim			meaning1987K 'star in the Milky Way'	8								
celestial objects	bintang	star					kenoeaij-noekie																						1								
celestial objects	bintang	star	apilhoa			apeloea	peloa		pelua																				4								
celestial objects	bintang	star						éféoda		éfé odā		afèloewa	apèlowa		eafi-doewa		eapedua			e-ʔapedúa͜u, e-ʔaperúa͜u									7	*bituqən	star	ACD	*bituqən	star	ACD	Kähler 1987:19	unclear, seems very irregular, Kähler has a question mark
other	kelaparan	starve												chèoba eonai
mehe														or famine?	1								
position	tinggal	stay			panoekoe	bado jamokikia	kaiama					kikiara	kikiara											ki-kiar					6								
position	tinggal	stay																						kiar	kikiar				2								
activities	mencuri	steal				pabeha	pah-beoh, kapa-beoh		pabeha			kabèho	kabèho	cabého						kabeho	beho			ka-beh, ʔa-beh	kabeh			note1864: first word means 'steal', second word means 'buy'	9								
	uap	steam										èoaba	èoaba							ẽ-ĩpõ~e-ipo								cf. smoke_meaning1987K 'smoke, steam, fog'	3				*huab	vapor	ACD	Kähler 1987:211	the PMP form is actually PWMP, only attested in Malay, Batak and Javanese
human objects	kapal uap	steamboat													prahoe ŏbie obie													lit. 'fire boat'	1								
human objects	setir mobil	steering wheel										[èdödöo]eijo	[èdödöo]eijo		ijo (èkor)													meaning1895 'rudder, helm'_note1891: first element unclear	3								
plants	tangkai	stem								kahara [koewo]		karahak²	karahak²							ekaraha	[e]karaha							meaning1879 'tree'_meaning1987K 'stem, body, trunk'_cf. body	4								
plants	tangkai	stem																		ẽ-ãkãhã								meaning1987K 'stalk, stem'									
plants	tangkai	stem										èijok²	èijok²															cf. stalk_meaning1891 'stalk, stem'	2								
	bau	stench										kaapaoe	kaapaoe							e-pau, ẽ-pau								cf. stink	3	*bəhəw	smell	Nothofer 1986:100	*bahu(q) / *bahu(q)-n	smell, odor	ACD / Smith 2020:359	Edwards 2015:94 / Smith 2020:359	Nothofer (1986:100) gives PAN *bəhəw for Sikule/Nias bɨu and Mentawai beu, but not for Enggano upau 'smell'; Smith (2020:359) proposes the final *n as nasal trigger (cf. *gutu-n 'louse')
	langkah (n.)	step (n.)										farabi	parabi																2								
	menginjak	step on															kirdi'iri'e							ki-kitix	kidi'i				3								
	menginjak	step on																						pa-kikitix					1								
kinship	tiri	step- (family)										kipakokĕ	kipakokĕ		dipăkoekă, [oewa]kipăkoekă													note1895: first word means 'stepparents', second word means 'stepson' but includes 'I' as the first element	3								
	tongkat (n.)	stick (n.)										obak²	obak²																2								
	melekat	stick (v.)												paraiá														cf. tie up	1								
	menonjol lidah	stick out tongue										famèmèo	pamèmèo																2								
	lengket	sticky										kiafa	kiapa																2								
	kaku	stiff										kajojo	kajojo																2								
	masih (adv.)	still (adv.)										karoiĕ	karoiĕ																2								
other	bau	stink												capau														cf. stench	1								
activties	mengaduk	stir																						puah	kahbua				2								
activities	mengaduk	stir																							pahro'ia				1								
body parts	perut	stomach	foeka			toeka						fèkoek²	pèkoek		fèkoe(k), pèkoe(k)	èpèkoeqwaq, èpèkoe(w)aq		fekuk		epekuʔua								meaning<1855&1982 'belly'_note1855vdS: f/t confusion_note1916: first word means 'stomach, goiter', second word means 'liver'	8								
disease	sakit perut	stomach ache													kapoehŏ kidai													lit. 'ill belly'	1								
activities	menginjak	stomp												chichidì															1								
natural objects	batu	stone					ééah					èéjak²	èéjak²	eea	èèja(k)	èè(j)aq	eia	eʔea	eyə, ʔε	eʔea	[e]ʔea	iEa	iEa	(ka)ʔe	i'ė	ie	ie	meaning1916 'coral reef, coral bank'	15								
natural objects	batu	stone	pako-pako		bakoe bakoe	pakoe pakoe	pakoe-pakoe		paku								eapakaau												6								
natural objects	batu	stone										igigja	igigja		igigja?														3								
	mampir	stop by										kihöa	kihöa																2								
	toko (v.)	store (v.)										oda	oda																2								
weather	badai	storm										lakohak²	lakohak²		lakŏha(k)													meaning1895 'wind, storm'	3								
	mengangkang	straddle										ènè	ènè																2								
directions	lurus	straight			tauwa																								1								
directions	lurus	straight				kenio						kajo	kajo									kay'ay'o	kay'ay'o	ka-ĩõ	kaĩyõ				7								
directions	lurus	straight													kājŏ									pãĩõ	kãĩyõ				3								
directions	lurus melewati	straight through										manèko	manèko		manèko													meaning1895 'straight'	3								
geography	selat	strait													èbaka oewè														1								
geography	selat	strait													panāoewè kèfoe														1								
	berbaring	stretch out										fĕkakanaka	pĕkakaka																2								
activities	menyemai	strew															ekatera												1								
movement	menyambar (petir)	strike (of lightning)																		ki-dapu, kĩ-nãpu									1	?			*nabuq / *dabuq / *labuq	fall	ACD / Smith 2020:362	Edwards 2015:94-97 / Smith 2020:362	Smith (2020:362) says that all three etymologies are possible, but he founds the semantic shift problematic although Old Javanese ḍawuh 'fall, come down as curse' may present a similar shift
	rangkaian ([pohon] kelapa)	string (of coconut)										hanaka	hanaka																2								
	kuat	strong										iook²	iook²	eeò	èo(k)o(k)									ka-ʔɨ̃ʔ	ẽ'ė			meaning1895 'strong, fixed'_cf. tight	6								
size	kuat	strong			täágoeka, käàgoeka	kakoeka	kakoekah								kakoeka					kaʔakũkã	kũkã (II)							meaning1855vdS&1864&1895 'big'_meaning1987K 'permanent, firm, strong'_cf. back (n.)_note1855vR: first word means 'big', second word means 'rude'_cf. behind	5								
	kuat	strong																							ẽyė				1								
	kuat	strong																							ka'ė				1								
	kokoh	strong (well-built)										èok²ok²	èok²ok²															gagah	2								
plants	tunggul	stump										kaijahak	kaijahak																2								
plants	tunggul	stump										kifoerika	kipoerika																2								
human features	bodoh	stupid			poeroemoe							kipara èbahoe	kipara èbahoe	caparebahu	kipara èbahoe													meaning1895 'dumb, unhappiness'_cf. crazy	5								
	mengisap	suck										kofodie	kofodie											ka-ropiʔ					3								
	mengisap	suck																				hopiq	hopiq	kopiʔ	karopi				4								
activities	menyusui	suck at breast													kaporiĕ														1								
	mati lemas	suffocate										opĕkak²	opĕkak²																2								
plants	pohon aren	sugar palm (Arenga pinnata)									minok-minok				minoe minoe														2								
plants	tebu	sugarcane	amaja		meijoe						amajok²			enaio	èamaijŏ					ẽ-ãmãĩñõ									6								
plants	tebu	sugarcane																		e-hopiʔio								note1987K: literal meaning 'that which is slurped'	1								
plants	tebu	sugarcane																		ẽ-ũkõ									1								
minerals	belerang	sulphur										èbaka oemo	èbaka oemo		ebaka oemo													lit. 'head of fly'?	3								
minerals	belerang	sulphur													doehoekiee														1								
celestial objects	matahari	sun	kahaa		kahaä	kahao	bakka-kaha	kaha	bakka-kaha	kaha		èbakĕkahaök	èbakakahaök	bacacaho	èbaka kahaŏ(k)		bakehe			e-baka u-kahaʔo		bakahaq	bakahaq					lit. 'eye of the day'	15	?			*qalejaw	day	ACD	Krauße	irregular *q(ale) > /k/, cf. Mentawai lägäu (Lafeber 1922:22), cf. Batak (a)logo~dogo~lego, Nias lõchõ, Iloko calgaw, Pangasinan lagau (Lafeber 1922:37)
celestial objects	matahari	sun					bakka-moenai													e-kehebu								note1987K: archaic	2								
celestial objects	matahari	sun																		ẽ-pãpãnõĩ u-kehebu								note1987K: archaic	1								
	mengering di matahari	sundry										makihak²	makihak²				kina kua'aha												3								
	cekung	sunken										kanoanoa	kanoanoa																2								
	cekung	sunken										kiekèowĕ	kiekèowĕ																2								
	cekung	sunken										kikara	kikara																2								
	cekung (mata)	sunken (eyes)										kiofèkĕ	kiofèkĕ																2								
natural objects	hempasan ombak	surf													kahanakiĕ														1								
	terkejut	surprised																						ki-kiʔ	kėdėh				2								
	terkejut	surprised																						kɨʔdɨx	kė'dėh				2								
	menelan (v.)	swallow (v.)										kodo	kodo		kŏdŏ(k)					ki-kodo				kɘr	kikėr				6	?			*tələn	swallow	ACD	Lafeber1922:21,23, Edwards 2015:94-97	Smith (2020:355) proposes *kələd as an intermediate stage
natural objects	rawa	swamp												chelo²															1								
natural objects	rawa	swamp										komoe	komoe																2								
natural objects	rawa	swamp														èowa													1								
activities	bersumpah	swear												bahitò															1								
bodily fluids	keringat	sweat (n.)										èomök	èomök		èoemo(k)									iɘmɘʔ	yėmė				5								
activities	menyapu	sweep (up)												bacáaia															1								
object features	manis	sweet				moné moné			moneh-moneh			kamoni	kamoni	camoni	kimonie									ka-mɘn	kamėn				8								
	berenang	swim												eaco		èaä(h)ko			kĩ:ˈʔʸãk	kĩʔãʔãkõ				ʔĩʔĩãk	kioyo'on				6								
activities	berenang	swim			poeroe lèwo lèwo																							lit. 'run in water'?	1								
activities	berenang	swim				pakiea		kaäke		kaäke		maakĕ	maakĕ		māākŏ	maä(h)ko			ʔiʔyãkha͜i	kiʔaʔakəa				kĩ-ʔĩãk	ki'ĩãk				11								
activities	berenang	swim																		aʔakəa									1								
activities	berenang	swim																		ãʔãkõ									1								
human objects	kayu renang di jaring cor	swimming wood at cast net																		eabo									1								
	bengkak	swollen																		kupo	upo (I)	kuph	kuph	kup	kup			note: must be related to the other word for 'swollen'	5								
	bengkak	swollen										kahoefĕhoefĕ	kahoepohoepo							kahupohupo	hupo:							meaning1891 'bloated'_meaning1987K 'swollen, bloated'	3								
	pedang	sword										èhiafo	èhiafo																2								
	meja	table																						beia	ebeya			loanword meja	2								
	tabu	taboo										èahauĕ	èahauĕ		èahawĕ					eʔaha͜oa									4								
	ekor	tail												iidia	èaidiă					eiʔo	[e]iʔo	Eyiq	Eyiq	jiʔ, iiʔ	i'yo			meaning1987K 'rear-end, buttocks, stern of boat, tail'_meaning2019: buttocks_note2011: first word means 'tail', second word means 'buttocks'_note: not sure if these words are really related	7	*ikuR	tail	ACD	*ikuR	tail	ACD	Lafeber 1922:21, Edwards 2015:94-97	semantic shift
	ekor	tail															pahedaida			e-pahɨdai									2								
body parts	tulang ekor	tailbone													poeri(k)			fufuri										meaning1982 'fire'	2								
transfer	mengambil	take													pènjok														1								
transfer	berputar	take on one's lap										kiofai	kiofai																2								
activities	bercakap	talk					penah nahoe																						1								
	mengigau	talk in sleep										èhamöa	èhamöa															mamai	2								
	jinak	tame										kikoroa	kikoroa																2								
plants	akar tunggang	taproot													eàfŏ kabŏrie														1								
plants	talas	taro					oh-dohpoh							eudòpo	oedŏfŏ					eʔudopo	[e]ʔudopo							meaning1894 'patata indigena, ubi cheladi'	4								derived from dopo 'earth'?
plants	talas	taro	pokia		toekija	pokiea	poekiah	foekieje			èpokèjak²				pokèo					epokeʔa	[e]pokeʔa			ʔudɘp	udėp			meaning1870 'keladi'_meaning1894 'ubi keladi'_meaning2011 'talas'	10								
activities	mengajar	teach										fakoenak	pakoenak															or learn?	2								
body parts	air mata	tear (n.)													bèbaka													lit. 'water of eye/face'	1								
activities	merobek	tear (v.)												capica															1								
activities	berbohong	tell lies										foforo	poporo	poporò										poro	poro				5								
body parts	pelipis	temple (body part)																		eʔā uahao									1								
numerals	sepuluh	ten	tafoeloe		tahapoeloe	tapoeloe	kapoeloe	kahafoeloe	tahapulu	kahafoeloe				kahafúlo	kāāfoeroe					kahapudu								note: loanword sapuluh_note1987K: obsolete variant of kĩpãʔãũʔũ	10	*sa-puluq	ten	ACD	*sa-ŋa-puluq	ten	ACD	Edwards 2015:94-97, ACD 8563	check Helfrich & Pieters 1891:593, Helfrich 1916:514), check tahapoeloe in von Rosenberg (1853:434), Edwards suggests a loan from Malay sepuluh, though this does not explain the medial /ha/, instead PMP *ŋa 'linker for multiples of ten' is reconstructed in ACD; Mentawai has a numeral suffix -ŋa, Nias has ŋa-fulu 'ten', Simeulue has ənəmə ŋa ulu 'sixty', cf. Nias fulu, Mentawai pulu (Lafeber 1922:24)
numerals	sepuluh	ten		apa apa adoea																								note: The literal meaning is 'four four two'	1								
numerals	sepuluh	ten										kifahoek	kifahoek		kifahoek					kĩpãʔãũʔũ				kĩpãʔãũp	kĩpã'ãũ			note: From the verb kĩ-pãʔãũʔũ 'lay side-by-side', suggesting laying both hands together	6								
numerals	sepuluh ribu	ten thousand													kaik koedodoka													lit. 'one body'	1								
	urat	tendon													èŏkŏ														1								
	tegang	tense										ijaoo	ijaoo																2								
	rayap	termite									kaihono	kaihonoak²	kaihonoak²															larva?	3								
	kesaksian	testimony												eho uba															1								
	kesaksian	testimony												epuha euba															1								
position	itu	that												iò	itèk		o'			éaʔa									4								
position	itu	that										éana	éana		èana			eʔana		eʔana		Ēoq	ūōq	ʔẽõʔ	ẽyõ'				9								
interjections	cukup!	that's enough!												abacochía														Mod. 'basta!'	1								
human objects	jerami	thatch													ko(k)èko(k)					e-pududui u-uba				purdu				meaning2011 'roof, thatch'_Kähler lit. 'hair of house'	3								
human objects	jerami	thatch													anèka														1								
human objects	jerami	thatch													èkèo(k)														1								
pronouns	milik mereka	their																-da, -nã											1								
pronouns	milik mereka	their													èaioe														1								
time	lalu (masa lalu)	then (past)										baèko	baèko																2								
position	di sana	there				aai é								iò	èjà(k)ā									ʔi-ʔuoʔ, ʔi-ʔĩõʔ	ĩ'yõ', ĩ'ĩõ			meaning1895 'there (near hearer)'_note2011&2019: first word means 'di sana', second word means 'di situ'	5								
position	di sana	there					djidjah	adiete				didĕ	didĕ		djidja					idita, itita		idiq	idiq	dit	iyo			meaning1891 'at'_meaning1895 'there (near hearer)'	10								
position	di sana	there																							ĩ'ĩan				1								
function words	tidak ada	there is not										kèabak²	kèabak²	chèoba	kĕabak, kieaba(k)									keam	keab			note1895: first word means 'no, not a, none, all', second word means 'no'	6								
function words	tidak ada	there is not										kijarak²	kijarak²																2								
pronouns	mereka	they																ki		ki									2	?			*si ida	they, them (3pl)	ACD	Kähler 1987:138	unclear if this etymology is correct
pronouns	mereka	they																				h'em'eq	h'em'eq	hamɘʔ	hamė				4								
object features	tebal	thick													èafa(k)					kã-ʔãpã		Ēāāph	Ēāāph	ʔẽãp	kã'ãp				6	?			*ma-kapal	thick	ACD	Edwards 2015:94-97	the PMP word is actually PWMP
object features	tebal	thick										kiĕ	kiĕ		kiĕ														3								
people	maling	thief										kabèhok²	kabèhok²																2								
body parts	paha	thigh					phallah	epara		épara		èafala	èapara	eapalà	èăpara														7								
object features	tipis	thin				kanenenene	kanie-kanie-kera-aha					kanènènènè	kanènènènè	chemá	kanànè							kaqnEn	kaqnEn	ka-nen	kanene				10								
objects	anu	thing																		hadu									1	*-nu	marker of uncertainty	ACD	*a-nu	thing whose name is unknown, avoided or cannot be remembered: what?	ACD	Edwards 2015:94-97	unexpected Ø > /h/
other	anu	thingumajig										mĕk²	mĕk²																2								
other	memikirkan	think										föhöjak²	pöhöjak²		pōhōja(k)							akitaq	akitaq	ʔa-kitaʔ	akita				7								
other	memikirkan	think										kahaikonak²	kahaikonak²															kira	2								
other	haus	thirst(y)												chiho															1								
other	haus	thirst(y)										èkihöa	èkihöa	echihoa	kihoeĕ					e-kihɨa				kehiɨ	kihiė				7								
numerals	tiga belas	thirteen					kapoeloe akoh-loe	kahafoeloe é akoloe		kahafoeloe é akoloe				cahafúlo acòlu															4								
	tiga belas	thirteen										kifa hoekjo akoloe	kifa hoekjo akoloe		kifahoekjo akoloe														3								
numerals	tiga puluh	thirty			kaheitaka tapapoeloe		kaihie takkah kapoeloeh	kahaie takka é kahafoeloe		kahaie takka é kahafoeloe		kaik taka kifahoek		caic taccá cahafúlo	kaik takajo kifahoek													lit. 'one person ten'	7								
numerals	tiga puluh satu	thirty-one										kaik taka kifahoekjo kaïk																	1								
position	ini	this										aii	aii	eà	èhĕ		e', e'i			éiʔie		Ēq	Ēq	ʔẽʔ	ẽ'			note1979: apparently first word low register, second word high register	10								
position	ini	this										itèk	itèk		itèk									pẽʔẽʔ					4								
tools	thistle (alat)	thistle (tool)					poh-koh																						1								
plants	duri	thorn																						duri				note: loanword	1								
plants	duri	thorn																		e-dudui									1	*duRi	thorn		*duRi	thorn, splinter	ACD	Edwards 2015:94-97, ACD 6825, Kähler 1987:48	first syllable probably via reduplication
plants	duri	thorn											poedarie							e-pudadi									2								
plants	duri	thorn										èkèhèödĕ																	1								
	bambu auer(?)	thorny bamboo (Bambusa bambos)									èadoea																		1								
pronouns	engkau	thou													ŏŏ								oq						2								
abstract things	pikiran	thought									poehajok	föhöjak²	föhöjak²											iamakaʔoaʔ	yamako'a			note1888: This word belongs to Helfrich's ""first dialect""	5								
numerals	ribu	thousand		kahia kadoea doeka adoea taka tapoeloe			kapoeloe takkah	adoea kododoka é kahafoeloe takka		adoewa kadodoka				alíme cahafúlo
taccá	kifahoek taka							kahakhribu	kahakhribu	kahaiʔ dibu	kahaik dibu			note1854: literally '1x2x?x2x40+10', note1864: literally '10 + person', note1879: literally '2x body', note1894: literally '5x10x20', note1987&2011&2019: loanword ribu	10								
human objects	benang	thread										bĕnang	bĕnang															loanword BI	2								
numerals	tiga	three	koeloe	akoloe	agoloe	koloe	akoh-loe	akoloe	akalu	akoloe		akoloe	akoloe	acòlu	akoloe					ʔakodu, ʔakoru		akēēt	akēēt	ʔakɘr	akėr			cf. Edwards (2015:68) for split of /o/	17	*Sika + təlu	NUM + three	ACD	*(i)ka + təlu	NUM + three	ACD	Edwards 2015:94-97, Nothofer 1986:100, ACD 8414	Nothofer's form is ʔakoru, Edward's is ʔakodu, ACD also lists ʔa-koru-para 'parents with one child' (=three-person family?), cf. Blust (2003:473) for *(i)ka-, cf. Mentawai tälu, Nias tõlu (Lafeber 1922:24)
numerals	tiga ratus	three hundred		aliema adoea						kahafoeloe é alieba takka										kĩpãʔãũʔũ hī ʔariba ekaka								note1854: literally '5x2?'	3								
numerals	tiga ratus	three hundred		aliema adoea				kahafoeloe takka é aliema takka																					2								
	menginjak padi	thresh (rice) with feet													abako(k), kŏ(k)ŏ(k)														1								
	menginjak padi	thresh (rice) with feet													bariedāha														1								
	menginjak padi	thresh (rice) with feet													kadŏkŏ														1								
body parts	tenggorokan	throat						hoenoe		hoenoe				ehanua	ehanoe(k)					ehãnṹ’ũã	[e]hãnṹ’ũã	hanuq	hanuq	hanuʔ	hanu	hanu'		meaning1870&1879&1894&1895&1987&2011 'neck'	10								
activities	melempar	throw																				oyq	oyq	pa-ʔitɘʔ					3								
activities	melempar	throw										fakoewak²	pakoewak²											paiʔ	yahbai			H&P, Yoder melempar	4								
activities	melempar	throw																						ʔitɘʔ	kahbai			note2011: melempar	2								
activities	membuang	throw away										fakoek²a	pakoek²a	epacúa										pa-tuʔ	kipatu			H&P, Yoder buang	5								
activities	menbanting	throw down										waafoeak²	waafoeak²	capacu iahatopo															3								
activities	melempar batu	throw stones												eabuaa															1								
body parts	ibu jari	thumb						nai afo		nai-afo		naè afĕ	naè afĕ	ena uapo	naè apo													calque from ibu jari?	6								
weather	guntur	thunder	lahoe			lahoe	la-hoe		lahu			èlouboe	èlouboe		èalahoe									dauoh	dauoh			cf. lightning	9								
weather	guntur	thunder			foeroemoena																								1								
weather	guntur	thunder													pakoeda														1								
	batu guntur	thunderstone													èĕkapakoeda														1								
activities	menggelitik	tickle										kokoniek	kokoniek											kir-koniʔi					3								
	geli	ticklish																						koniʔi	koni'i				2								
	geli	ticklish																							konkoni'i				1								
activities	mengikat	tie up												paraiá								raq	raq	ʔɨaʔ	kah'ėa			meaning1987&2011 'tie up, fasten'	5								
activities	mengikat	tie up			pami-i	pamilie	pamieh					afamik²	afamik²		afamī(k)													Mod. tambat, ikat, gantung	6								
activities	mengikat	tie up													ami(k)ī(k)														1								
	ketat	tight										kakakak²	kakakak²															kencang	2								
	ketat	tight										panèhak²	panèhak²															cf. almost	2								
	ketat/teguh	tight										iook²	iook²																2								
	membajak (ladang baru)	till (new field)																						ʔahdih, kah-dih	kahdih				2								
tools	kaleng timah	tin (can)			ou-ou																							cf. knife?	1								
human features	lelah	tired				kapieaka								capiaca										piak	kipiak				4								
human features	lelah	tired										fanoekoe	panoekoe															meaning1895 'get tired, stancarsi, payah'	2								
directions	ke	to										i-	i-	ca						yaha͜e iʔiō									4								
pronouns	kepada saya	to me										iĕoewĕ	iĕoewĕ																2								
pronouns	kepada anda (sg.)	to you (sg.)										iĕmoe	iĕmoe																2								
animals	kodok	toad									pèo	èfèok²	èpèok²		èfèŏ(k), èpèo(k)													meaning1888&1895 'frog'	4								
human objects	paket tembakau	tobacco pack												cachidapa														Mod. 'pacco di tabacco/lempeng'	1								
	hari ini	today												ecaha é															1								
